book	id	star	time	likenum	body
天才在左 疯子在右	zhaoxiaofan	none	2014-03-09	14	看完有种作者在扯淡的感觉。
天才在左 疯子在右	abjkl	allstar30	2010-07-21	9	我以为我在看一本很认真的科普杂志，结果还是天涯的帖子，555，摔！
天才在左 疯子在右	jiongcaicai	allstar50	2015-09-22	11	读完前三章（确切地说是1、3章）就可以断定这是一本奇书。光是作者借“脑洞已开”的精神病人表达自己的世界观的手法，也足以让人捶胸顿足几秒钟。很多读者谩骂作者打着访谈的幌子写科幻小说，这个噱头确实有些缺德，出版社和编辑也有责任。然而如果抱着“自己多少也有精神病”的观点来看，那么这种把主题精神贯穿封面封底的consistency也不是不值得赞赏的。毕竟对于吃货来说，只要水果新鲜量大份足，用桶装一个果“盘”上来岂不是更好？“正常”的读者经常会讨论《厚黑学》的“厚黑”到底是技能还是伎俩，然而宗吾所表达的可能压根就不是这档子卵事。
天才在左 疯子在右	gy9261	allstar40	2015-05-16	22	有虚构成分却标榜“精神病人访谈手记”确实降了许多感情分，但仅从内容来说阅读体验还是不错的，自己理解或不理解的奇妙念头被人那样执着地相信，发展出自成体系的逻辑，坚定地生活在那样的世界里。感谢这些故事，不论真假。
天才在左 疯子在右	lainyung	allstar50	2014-07-29	10	非常精彩，精彩过头，肯定不是完全真实的报告文学。
天才在左 疯子在右	canny-leon	allstar50	2011-11-28	6	正常人也没见得有多高明。
天才在左 疯子在右	moshou	allstar50	2011-11-27	6	才知道自己有邪教教主气质。
天才在左 疯子在右	kaolaxiaowu	allstar40	2011-05-04	6	太神奇了这本书。。觉得他们不是精神病人，而是科学家。。
天才在左 疯子在右	glory3700	allstar40	2015-05-19	6	有共鸣。精神病人归根到底都是因为孤独。
天才在左 疯子在右	eowynlost18	allstar50	2011-08-02	4	这个世界到底是怎样的？到底怎样才是界定正常和不正常的界限？如果你认真思考这样的问题别人可能会觉得你疯了，但那些精神病人确可以用所有的时间去思索这样的问题不管答案是什么。看这本书会总是会觉得自己是在看科幻或者奇幻，一个果冻和四维虫子的宇宙。
天才在左 疯子在右	48513899	none	2012-04-05	2	不知道好在哪里 感觉很虚假
天才在左 疯子在右	IsaacFan	allstar30	2010-12-23	2	这怎么让我觉得像是个科幻的东西，难道疯子都是科幻迷？
天才在左 疯子在右	2265139	allstar30	2011-12-13	1	算是有趣的书，如果少点做作和美化，我会很喜欢的。
天才在左 疯子在右	akkkkkkkkkki	none	2012-05-20	2	大半夜大看得我有点毛骨悚然。。。。。
天才在左 疯子在右	sikongyu	allstar10	2011-10-07	3	1、精神病不是炫耀用的噱头。2、记录者相当无知。3、文字差的可以。
天才在左 疯子在右	xgui	allstar40	2013-06-20	5	这其实是本哲学书。
天才在左 疯子在右	ladymuse	allstar50	2013-04-05	5	很久之前买的书，最近才看，看了才发现tmd以前看过！！！！！！！！！！
天才在左 疯子在右	nipperbeta	allstar30	2012-05-01	1	表示对这个作者很无语。但是里面的故事还是很精彩，虽然量子力学混沌理论平行空间时空扭转之后的平衡神马的看起来很玄乎，但大多是常识。
天才在左 疯子在右	fuxiu	allstar30	2012-04-11	1	看了个头好棒！想到最爱的梦旅人了呢！←看到后面就没啥气了掰的太多了，有个能把人看成动物的少女最萌了！
天才在左 疯子在右	nkernerazzurri	allstar10	2015-01-25	2	简介说得像是纪实访谈才去看的，没想到只是科幻小说。。。
天才在左 疯子在右	marchpanda	allstar40	2011-08-28	4	什么才是真实
天才在左 疯子在右	anchoretic	allstar40	2011-11-16	1	这本书当年想看的时候评价并不高，后来不知道怎么就高了，大学毕业的时候很多人都喜欢听我讲很多关于疯子们的故事，但是我发现这本书中的半个故事跟我很像，嘿嘿~
天才在左 疯子在右	3976831	allstar50	2010-11-01	1	我想研究相对论、量子物理神马的了= =
天才在左 疯子在右	fate7	allstar50	2010-10-02	2	没看一个章节就习惯性的休息一下。。
天才在左 疯子在右	bigAnut	allstar40	2015-06-21	1	看哭了你信不信！
天才在左 疯子在右	outset	allstar50	2011-11-04	1	其实每则故事看下去，很多"病人"逻辑条理清晰，堪称那个领域的天才，只不过他们思考的程度我们的科技还打不到所以觉得他们是错误的。还有一些天赋异能的，除了那些伤害到人的，其他真的没有理由入院。亦或许如其中那个老板说的，富人不会被判成精神病人，但是穷人就会。
天才在左 疯子在右	lwj01030963	allstar20	2013-01-01	2	没觉得里面的观点多奇特，好吧，也许是我本身就不那么正常，但是作者的文笔呀。。。唉，还有就是觉得里面有很多扯淡的东西
天才在左 疯子在右	gu_lu	allstar50	2015-11-28	4	共鸣引发的共振崩塌了世界观。废墟中隐约浮现一条路，清晰地指向一个地方，二院。
天才在左 疯子在右	cancan226	allstar40	2011-11-15	0	有启发
天才在左 疯子在右	Ricci.lee	allstar50	2013-01-25	1	粗糙翻了一遍（不敢细看，我这个人特别容易接受暗示┬┬﹏┬┬），震撼力就不用说了，不过我倒是想起了另外一点东西…………一切学术的根源都是哲学问题。而对于我这种没什么文化，又没有胆子去相信唯心主义的绝对唯物主义者来说，大学马哲就是一切哲学问题的最高版本了……所以…………自打看完这书，我满脑子都是张起灵打开青铜门，发现门后有一本硕大的马哲书……为了研究终极，小哥决心在门后闭关十年专心看马哲_(:з」∠)_………………从门后面出来就去入党吧小哥（诚恳）
天才在左 疯子在右	hocci	allstar40	2012-10-18	0	虚构
天才在左 疯子在右	yunjianhualuo	allstar30	2015-12-22	2	很难评价这本书哎，看的时候有小时候读卫斯理小说的感觉，又要不断提醒自己：这是民科、这是民科！！！！
天才在左 疯子在右	tifaqu	allstar50	2013-03-27	0	读就好了，别去想真假
天才在左 疯子在右	tear_mask	allstar40	2014-07-10	0	有很多观点都十分认同啊
天才在左 疯子在右	shanyuping	allstar40	2011-02-18	0	有趣
天才在左 疯子在右	sophie-z	allstar50	2011-03-03	0	精神病人的世界
天才在左 疯子在右	loverwenzi22	allstar50	2013-11-21	0	还真是挺有意思的~
天才在左 疯子在右	wangxiaoerhehe	allstar40	2012-07-05	2	精神病人欢乐多~
天才在左 疯子在右	riririri	allstar50	2010-04-11	0	好看
天才在左 疯子在右	ourzuoer	allstar50	2011-05-22	1	夜晚属于精神病~
天才在左 疯子在右	2364578	allstar30	2014-04-28	1	时间不是流逝的，流逝的是我们自己。瞬间就是永恒。
天才在左 疯子在右	roadfinder	allstar40	2015-10-23	1	也许，我要成为天才，得先把自己逼疯
天才在左 疯子在右	HMWR	allstar50	2010-12-01	1	懒惰的天才，勤奋的疯子
天才在左 疯子在右	yaohuadong	allstar40	2016-10-07	1	很好读的一本书，有几个故事脑洞很好，未到科普的程度，但会在某种程度上让读者对几个领域的知识发生兴趣，进而去扩展阅读。看到评论里有人因为差点被这本书改变了世界观，而怒打一星，觉得这个故事应该增补进这本书里。
天才在左 疯子在右	LJseven	allstar40	2015-06-03	0	看完有点害pia，赶紧看看别的缓缓。
天才在左 疯子在右	socratesv	allstar50	2012-02-02	0	貌似是高二时候读的，真的很棒：）好吧我真心觉得那些精神病人的视角纯净又神奇，好几篇看了要落泪。单纯的力量真的无与伦比。
天才在左 疯子在右	butterking	allstar40	2014-04-21	0	当明白了基督福音后，才完全清晰他们述说的世界观。一切问题都是起源于“绕开创造主解释世界”。我也为作者祷告保守他的心，真是辛苦他了，在这么多错误的世界观里打转这么久。
天才在左 疯子在右	ping1029	allstar30	2011-08-08	0	《孤独的守望者》描述的那种孤独感让我难受了好一阵，有过好些次类似的梦境，梦中袭来的那种孤独感在你醒来后同样深刻。全书虚构成分过多，当故事看罢。恩，我爱精神病人，好久了。
天才在左 疯子在右	merrymary	none	2014-05-23	0	看很多人推荐这本书,我看的就是连载形式的.跟论坛上的发帖一种感觉.这本书对于纯文科生来讲,其实有很多故事情节看得有点费劲.不扯物理哲学的我都爱看,像第一个小故事就有点吸引人.扯了量子力学(还好几个)还扯到相对论那种的真是痛苦了,尤其是果冻的世界还分为上下两篇,如果我被那女人传教,一定是被这套理论给折腾疯的!相对的只是想法有点猎奇的(比如说可怕的人脸,比如说那个护士主任的外星人经历,就觉得很好看)...虽说一开始就明白书里的设定是精神病人,可是大多数人,逻辑思维比我强悍得多了.
天才在左 疯子在右	kqkqkqk	allstar30	2015-12-18	1	作者作为心理学爱好者能不能稍微上点课再写书啊，整天故弄玄虚。
天才在左 疯子在右	siruo_love	allstar50	2014-09-09	0	看完觉得自己也是精神病
天才在左 疯子在右	13879032	allstar40	2012-05-12	0	推荐第九个故事。。哈哈＝ ＝感觉在电影里见过类似桥段。看完这书，不得不对量子力学再次表示崇敬。虽然本人极其讨厌这货。。。
天才在左 疯子在右	LivingEveryday	allstar50	2011-11-19	0	有几篇看的真是眼泪都要掉下来~
天才在左 疯子在右	2461413	none	2012-12-29	0	看了有些瘆得慌
天才在左 疯子在右	knocker	allstar50	2015-04-02	0	高能
天才在左 疯子在右	luoxiaolian	allstar40	2011-11-09	0	看过以后总觉得里头好多说的很对。。
天才在左 疯子在右	Miss_shell	allstar40	2011-11-23	1	了不得病友们
天才在左 疯子在右	gstone1723	allstar40	2014-08-11	0	看我我就疯了
天才在左 疯子在右	onlyciwei	allstar50	2012-02-22	0	涉及太广了。。作者太有才了！
天才在左 疯子在右	kirinkeren	allstar20	2012-06-03	2	实在难以理解这本书分数如此之高，一口气读下来只见粗滥的三流文笔加之明显杜撰的情节和生硬浅显的所谓感触而最令我厌恶的是作者对待病例只求新奇的态度。不过一些病人的想法还是很有意思。
天才在左 疯子在右	douban.tao	none	2011-05-31	0	读不下去
天才在左 疯子在右	echoluvSM	allstar50	2013-09-25	0	看完之后想好多。你眼里看到什么样的世界？今天早上，我走到迎面而来的人之前在的位置上看了看平常我没看到的范围。觉着还是很有意思耶。
天才在左 疯子在右	moneyboy	allstar50	2012-06-14	0	太高端了
天才在左 疯子在右	joker0731	allstar40	2012-01-05	0	荒诞故事集
天才在左 疯子在右	xiaobaicaishini	allstar50	2012-03-19	0	完全惊艳了，共鸣太多。
天才在左 疯子在右	anjiji	allstar30	2012-05-11	1	听说这书好久了，读到一半发现，如果真当成“精神病人访谈”，展示精神病的世界，就错了。当八卦贴来看，就对了。那些哲学啊物理啊之类的问题，脱离精神病的背景，看看也挺有趣的。啊，终于知道这本书是什么样子了，再也不用惦记着看了。
天才在左 疯子在右	vijone_133	none	2012-03-06	1	鬼扯你妹啊！如果标科幻小说我不介意给四星，手记敢这样玩真他妈的贱种一个
天才在左 疯子在右	baiwuya	allstar50	2012-01-03	0	绝对的好书，非常有趣而且非常有用
天才在左 疯子在右	2230944	allstar30	2016-06-27	0	不论其是否严肃，至少能给小说和剧本提供点灵感。
天才在左 疯子在右	orbit	allstar10	2012-06-19	1	小说吧这？质薄 气邪
天才在左 疯子在右	Monmon.lee	allstar40	2012-07-07	0	疯子还是天才，见仁见智。
天才在左 疯子在右	NorthKinG	none	2015-12-15	0	37
天才在左 疯子在右	stefana	allstar50	2012-09-13	0	非常精彩。
天才在左 疯子在右	coooooooka	allstar50	2013-07-18	0	好想打十分。刚看见一句书评，大意就是现在的精神病在古代都是宗教领袖。
天才在左 疯子在右	4708349	none	2012-10-18	0	诺兰一直否认拍盗梦空间之前看过红辣椒，张悦然在写那啥之前也否认看过那啥，这作者用户口本赌上自己从没看过倪匡。每一篇都像卫斯理最后的解密版，似乎李菊福，确实李菊福。第32篇特别有感，有几个时空穿梭和人格分裂的特别有意思。仅此而已。
天才在左 疯子在右	youyv	allstar50	2011-05-17	0	三分真实，七分虚构。
天才在左 疯子在右	landy888	allstar30	2011-02-27	0	读了1/3，对变态 套路熟悉后，就没那么兴致盎然了...有机会再读完吧。
天才在左 疯子在右	dhiea	none	2011-07-25	0	异常强大的一本书，实在佩服作者的心理素质……里面不少患者逻辑性强的一逼，真正意义上的“疯掉的天才”……读的时候还被迫学了点量子物理……
天才在左 疯子在右	BandOfOutsider	none	2011-06-08	0	这本书不能以纪实概括，顶多算小说，如何理解在读者自身：“信则有，不信则无”同理适用。
天才在左 疯子在右	renshuangxia	allstar30	2010-09-29	0	这些访谈太纯粹，不像是琐碎冗长拖沓的个案。其实个案往往是是面目模糊的一团。更像是按照精神科教材演绎出来的故事。若是访谈，我选择不信。若是科普，我评价很高。
天才在左 疯子在右	Rinn	allstar40	2011-03-21	0	真的假的？
天才在左 疯子在右	pi3_14159265358	allstar30	2010-12-05	0	对一系列案例浮光掠影的、猎奇式的讲述。感觉不少段落在用术语装腔作势的讲玄学。不过很有趣。
天才在左 疯子在右	liu-nono	allstar50	2014-02-28	0	妈蛋前几篇看得老子被窝里直冒冷汗！
天才在左 疯子在右	safinflower	allstar40	2010-09-14	0	有几篇写的像惊悚小说似的
天才在左 疯子在右	yelle	allstar50	2013-08-28	0	这个世界究竟是什么样的？答案不重要，重要的是我们该更多的、真正的，去看这个世界，而非只是为了眼前的工作钱地位而程序般的活着。
天才在左 疯子在右	yaorui	allstar50	2010-07-24	0	带来一些思考
天才在左 疯子在右	WuWei.QingSi	allstar10	2010-09-03	0	前半本口吻非常女性化，作者与疯子个性特征极不明显。豆瓣书托越来越多了。
天才在左 疯子在右	JoyYoung	allstar40	2010-11-05	0	量子物理部分看多了就不开心了。比较喜欢有想象力的精神病人。
天才在左 疯子在右	knoppix	none	2012-07-26	0	开阔——既是善良又是智慧。
天才在左 疯子在右	monkey_house	allstar50	2010-06-09	0	真好看！！！！！
天才在左 疯子在右	jessielee1018	allstar30	2010-07-08	1	越想越觉得上当，根本就是一本卫斯理嘛
天才在左 疯子在右	1066112	allstar50	2010-05-25	0	为啥疯子都喜欢物理呢
天才在左 疯子在右	5984575	allstar50	2010-06-16	0	反省自己
天才在左 疯子在右	daisywong	allstar50	2010-05-12	0	不说什么了 看的我自己觉得自己神经病了
天才在左 疯子在右	xiaoxiao_cat	none	2010-03-09	0	每一个读者都会自问：他们不正常么？我正常么？
天才在左 疯子在右	faeries	allstar40	2010-02-10	0	太像K星异客那种东西了
天才在左 疯子在右	2304945	allstar50	2010-07-20	0	孤独，这深入骨髓的孤独。
天才在左 疯子在右	meinvclub	allstar50	2011-12-23	1	一个被遗忘的群体，被接受的就是天才，被抛弃的就是疯子。
天才在左 疯子在右	41014602	allstar40	2015-10-06	1	想看到真正的世界，就要用天的眼睛去看天，用云的眼睛去看云，用风的眼睛去看风，用花草树木的眼睛去看花草树木，用石头的眼睛去看石头，用大海的眼睛去看大海，用动物的眼睛去看动物，用人的眼睛去看人。不管身处在什么时代，沉稳的也好，战乱的也好，浮夸世风也好，只要做到四个字：隐忍、低调。马可以跑得很快，鱼可以游的很深，鸟可以飞的很高，这都是它们的特点，为什么呢？马跑得很快，但是马不会四处去问自己为什么跑的快；鱼游的深，但是鱼不会四处找答案自己为什么游的深；鸟可以在天空翱翔，但是鸟不会去质疑为什么自己可以飞的那么高。我是人，我不会那么快，那么游，那么飞，但是我能够去找、去追求那个为什么。其实，这就是人类的不同啊，这就是人类的那颗心啊。
天才在左 疯子在右	charmingjoanna	allstar30	2014-05-09	0	我要研究下我纠结在左还是在右！
天才在左 疯子在右	75674141	allstar10	2016-05-20	1	啊？完全没有医学常识可言吧？而且中间有很多误导人的言论，真的行吗？
天才在左 疯子在右	40379284	allstar50	2016-04-10	0	谁又不是疯子呢？嗯，读的时候，居然有种豁然的感觉。
天才在左 疯子在右	Andrew.S	allstar50	2016-05-11	0	其实我是精神病
天才在左 疯子在右	graypick	allstar30	2016-04-30	0	实验室小朋友推荐，有点意思，起码我确实分不大出是真的还是瞎编的。不喜欢那些推销世界观和科学观的故事，说的太多了，拼命卖弄名词，很无趣啊。喜欢那些讲心理和情绪挣扎的，《颅骨穿孔》《杀戮动物》《孤独的守望者》《雨默默的》《活死人》（结局长铅丝太无聊了）《双子》《大风》《永生》《萨满》这些都挺中意
天才在左 疯子在右	Ruofay	allstar30	2016-03-14	0	猎奇读物，心理学解读，见书评。
天才在左 疯子在右	cheee	none	2015-09-28	0	我以为是本严肃的书…不过还是挺好玩的 可能是我本身耐受力比较高 除了暴力攻击他人影响他人 杀人什么的 其他所有的行为 把自己折腾成什么样子我都可以接受～
天才在左 疯子在右	zllzyu	allstar40	2015-11-22	0	少想
天才在左 疯子在右	violetmelody	allstar40	2015-12-29	0	伪记录体的科幻小说 。。。。
天才在左 疯子在右	essiewong	none	2016-01-05	0	一三年产假期间看了几篇，当时觉得很惊艳。后来上班了就一直没看，最近又拿出来看完，才发觉其实还是网络连载贴的套路，危言耸听，吊足胃口，但烂尾，本质上和盗墓笔记是一样的。
天才在左 疯子在右	yihuiw	none	2016-02-14	0	翻了几个案例，注定不会再读
天才在左 疯子在右	manrysh	allstar40	2015-08-04	0	慎学物理或者生物....尤其是量子物理生命起源进化什么的......后果请参见黑藻
天才在左 疯子在右	treelove	allstar20	2015-06-28	0	两星半，电子书看完。有时候点子还算有点趣，仅此而已。而且看得出夹杂了大量的电影漫画或猎奇故事边角货，not at all original，而且作为小说没点感情嘿嘿，就酱吧。
天才在左 疯子在右	vinnsy	allstar30	2015-08-26	0	我觉得我没啥意思……
天才在左 疯子在右	Sigaorain	allstar10	2015-07-19	0	副标题恶心到我了，满满中二脑内之“我笑世人看不穿”。您编的累不累？
天才在左 疯子在右	lin2jie	allstar10	2015-05-15	0	很多年以前看的，发现好多人都在津津乐道此书，我只想说，我觉得作者就是个傻逼，自己没有建立起健全系统的科学观，就把精神病患者当作特异功能在那胡说八道误导读者。
天才在左 疯子在右	laoganmajiang	allstar40	2017-08-14	0	随便当科普和科幻掺杂着，选择性认知了只能
天才在左 疯子在右	2357088	allstar10	2014-10-09	0	实在是看不下去，这是纪实文学么，这是网络小说吧？！豆瓣评分还这么高......
天才在左 疯子在右	1116375	allstar10	2014-09-22	0	跟《错把妻子当帽子》高下立判。
天才在左 疯子在右	Terry_Lee	allstar20	2014-10-14	0	没看完，私货太多，就是小说
天才在左 疯子在右	wuyiye	allstar30	2014-11-06	0	当我看到有虚构成分的时候 这本书瞬间不好看了。只得速速看完
天才在左 疯子在右	little_mari0	allstar30	2015-01-11	0	我的智商不够，跟不上精神病人的脚步
天才在左 疯子在右	oneself1314	allstar30	2014-10-19	0	没法不当小说看
天才在左 疯子在右	59155650	allstar40	2014-08-12	0	这是这样一群人，在另外一个层次实现价值。
天才在左 疯子在右	yuxiaomiao	allstar30	2014-06-30	0	不太喜欢这种对话体的行文，太啰嗦。介绍的案例以“民科”为主，生活中常常能够见到，有的在院里~有的在院外~
天才在左 疯子在右	jingle0702	allstar40	2014-07-08	0	每一个人都有自己完整的世界观，或者说每个人都在建立着自己完整的世界观。文中说的很对，其实每个人都是神经病。同一个世界，每个人看到的不一样。除却一些恐怖的狂躁症和杀人这些方面的案例，其他的众多还是非常引人深思的。看着看着曾一度停下来不敢看了，有些着实把我吓到了，不过还是坚持看完了。原来很多疯子都在想世界的本质，生命的意义，或者执着地如钻牛角尖儿般专注于一件事，所以我们都有疯子的潜力。
天才在左 疯子在右	41628303	allstar20	2014-03-03	0	不明白这本书评分怎么会这么高。首先作者在部分病患不愿意被录音的情况下私下使用了录音笔。其次，此书给人感觉缺乏专业性，同时其中很多人并不算是精神病人。而且此书读起来更像是小说而非访谈录，也很难获取到心理学知识，但能够满足下好奇心。结果就是看了之后觉得乏味而失望。
天才在左 疯子在右	rubensbear	allstar20	2014-03-31	0	半颗星给创意，半颗星给勇气，一颗星给求知欲。
天才在左 疯子在右	wankongkong	none	2014-07-25	0	开卷营销会推。是一页一页看的。比起什么张嘉佳，这好看太多了。
天才在左 疯子在右	thanatophilia	allstar20	2014-05-17	0	我傻逼才看这本书
天才在左 疯子在右	hqlan	none	2014-01-17	0	骗子
天才在左 疯子在右	vivien9161	allstar30	2014-02-07	0	第二次同读一本书活动的书，讲故事不像讲故事，纪实文学不是纪实文学。
天才在左 疯子在右	rella89	allstar30	2014-02-11	0	为什么是自己编的！
天才在左 疯子在右	yvespotter	allstar20	2014-02-11	0	说实话，如果作者踏实说明这是一本小说的话，我或许会给4星。
天才在左 疯子在右	largefo	allstar40	2014-01-23	0	有意思 不出意外你会希望一口气读完
1Q84 BOOK 1	shinydaye	allstar50	2013-10-29	153	看了下书评，毁誉参半。好像喜欢的很喜欢，不喜欢的就认为一文不值。可是我还挺喜欢这书的气质，很平缓，不着急；很琐碎，却不冗余。有些文笔的细腻，读起来的韵律真的挺美。读书就是读书而已。要开始读第二本了。
1Q84 BOOK 1	suicide13	allstar50	2011-03-01	70	我觉得很好看 但不会再看第二遍 这往人心里养小鬼的家伙
1Q84 BOOK 1	quandidi	allstar50	2013-11-03	19	和林少华的翻译相比，施小炜显然冷静严肃得多，尽管没有了过去阅读林版的那种“游离感”，取而代之的却是另外一种顺畅、一气呵成的感觉，也许这才更接近村上春树。《1Q84》第一本看到最后又是吓了一跳，想继续阅读下去的欲望越发的强烈。这个故事里的人物性格特点深深吸引着我，高大帅气的天吾君以及迷样少女深绘里，包括那个年长的女朋友（我多羡慕她啊！），然后是专挑头发稀疏的中年男性做爱的青豆、老夫人、甚至是亚由美都可爱得很。
1Q84 BOOK 1	kamely1025	allstar50	2011-02-09	10	于是看了2
1Q84 BOOK 1	mujun_soc	none	2011-09-23	5	天乐同学，这本书你竟然没有看过吗？新左派搞革命不成转向有机农业运动，后来组织内部分裂变成邪教。槽点太多了哇！不过我感兴趣的东西暂时还没有出现，都看完了再评价。
1Q84 BOOK 1	kingszar	allstar40	2011-03-31	7	第一本读完了还没看明白他想说点啥.
1Q84 BOOK 1	sweetlayla	allstar50	2013-03-24	8	是不是读村上作品太少的缘故，竟然觉得非常得惊喜和喜欢。日本作家通常具有高超的想象力和把这种想象力转化为语言的一流的描写能力。同时，可能是语言的关系，行文在一种不疾不徐的节奏里进行，总之让人刮目相看啊。
1Q84 BOOK 1	tuiblio	allstar40	2011-02-20	3	村上自己说，他是个珍惜灵感并尽量把想法用很久的人（大意），对于自己不是天才这一点，我想他是诚实的。《1Q84》BOOK1读过，觉得太稀疏了，村上至少在叙述上体现了他的“把想法用很久”的说法，读前读后，总是忍不住想起对面的福克纳的密集，不过两者相差甚大，不具有认真比较大价值。我和大唐的感觉一致，村上适合去描写感觉到飘忽不定，而不适合去构建一个仿佛能自圆自说的世界体系，尤其是现在《1Q84》已经读到BOOK2快终结时，并没有觉得这么多的篇幅所展现的世界景象比《寻羊冒险记》要丰富多少，甚至可以觉得，《1Q84》在制式和情绪上，与《寻羊冒险记》之类的村上小说没有本质的不同，更有大致的相似和重复。说是巅峰之作的话，如果指的是篇幅的长度，我还能同意。但是说到底，这个故事还不错，舒服地读下来了。
1Q84 BOOK 1	chloe930	allstar40	2010-08-05	1	我们已身处1Q84无法自拔
1Q84 BOOK 1	Luna-cat	allstar50	2010-07-15	1	昨晚读完，立即开始2的阅读！一个全新的村上！
1Q84 BOOK 1	emilycat	allstar50	2010-06-20	2	依然是自我探寻
1Q84 BOOK 1	luka90123	allstar20	2012-07-01	1	说几点吧，深绘里身上带着太强烈的欲望投射气息，这种为了受欢迎而塑造的俗套角色真是暴露了村上君的不求上进；我也不同意村上是流行作家的说法，但是他熟稔于商业小说的写作规则，知道怎么写能让你喜欢；施小炜译笔对于一本畅销书来说功不可没，不过若村上还处在模仿卡佛、奥斯特的阶段，当然需要林少华。
1Q84 BOOK 1	littlecityfish	allstar50	2010-05-29	1	村上难见的严肃认真。流畅而迅捷，精准而曼妙
1Q84 BOOK 1	sharplhl	allstar40	2010-06-02	0	先打个4星，等着看第二本、第三本。保留升到5星的潜力。
1Q84 BOOK 1	kindsnake	allstar10	2015-12-18	1	弃疗，再也不试图看村上春树或者试图理解村上粉了。
1Q84 BOOK 1	fishniao	none	2010-07-26	0	整体看起来是个应景之作，可以消磨些时光，但无褒贬。再看2吧，是否有突破。
1Q84 BOOK 1	annzy	allstar40	2011-06-19	1	2011.6.19
1Q84 BOOK 1	Ringco	allstar40	2011-06-16	0	好神奇的村长
