ID,Movie_Name_EN,Movie_Name_CN,Crawl_Date,Number,Username,Date,Star,Comment,Like
13,Avengers Age of Ultron,复仇者联盟2,2017-01-22,14,陀螺凡达可,2015-04-22,3, 跟第一部很不一样，叙事加强了不少，整个基调都更沉重黑暗，幽默和燃点也减少了，趣味性更是大减。总的来说整体并无惊喜，亮点也不多，但尾灯总算是完成了这个不可能的任务。相比较第一部刷了很多遍，这部一遍就够了。,228
14,Avengers Age of Ultron,复仇者联盟2,2017-01-22,15,别惹小白兔,2015-04-27,3, 漫威第二阶最中庸的一集。承上启下之作，完全是内战和复联3的超长预告片，奥创明显是为续集强加进来的反派，引入生硬。基调并不沉重，笑点不减反增，节奏和群戏倒真弱了不少，尤其是中间鹰眼家那一大段文戏满满尿点。PS：按照寡姐一部钓一个的节奏，下回绝逼轮到跟基妹争男人了~（波特曼一边玩去！）,270
15,Avengers Age of Ultron,复仇者联盟2,2017-01-22,16,高压电,2015-05-08,1, 什么破烂反派，毫无戏剧冲突能消耗两个多小时生命，还强加爱情戏。脑残片好圈钱倒是真的。,158
16,Avengers Age of Ultron,复仇者联盟2,2017-01-22,17,牛腩羊耳朵,2015-04-22,4, 总体来说没有达到第一部想让人立马二刷的体验，搞笑和燃度都有就是不够劲，应了续集电影的疲软定律。出场人物多到让人眼花撩乱，不过依然个个鲜明，Jarvis和Vison合体很惊艳，双胞胎戏份不多，widow和浩克的感情戏是最柔软的时刻，奥创存在感略低，妇联内斗戏不够激烈，队长脏话雷神锤子笑话贯穿始终。,165
17,Avengers Age of Ultron,复仇者联盟2,2017-01-22,18,文文周,2015-04-24,5, 机甲之战超超好看，比变形金刚强；人，神，变异人，人工智能互殴，强强强强；每一小段末句都是槽或者笑点，应该死了不少编剧；Jane不来客串，雷神没露，扣分；女神配怪兽，fair enough；美国队长我最喜欢他的盾，大概因为紫龙；难得人物多次发表演讲还不死；最后，找到了下半年新发型，开心！,182
18,Avengers Age of Ultron,复仇者联盟2,2017-01-22,19,抽先桑,2015-04-29,2," 结局就差寡姐握着绿巨人的手说：”我的意中人是一个盖世英雄，有一天他会turn green来救我，我猜中了这开头，没猜中这结局......""",153
19,Avengers Age of Ultron,复仇者联盟2,2017-01-22,20,时间的玫瑰,2015-04-23,4, 全程挥之不去美队的胸和banner的胸……毛。人物太多感情的处理不够细腻是一定的啦。凭良心讲，就看这电影里的剧情，再怎样黑寡也不可能算是slut，采访里面CE和JR简直糟糕。对看超级英雄系列片的热情开始减弱了，虽然俺看这种片子丝毫无惧于剧透，还是想对某说，一句短评就剧透的，有什么病啊！,144
20,Avengers Age of Ultron,复仇者联盟2,2017-01-22,21,随时流感,2015-04-28,2, 奥创弱爆了弱爆了弱爆了啊！！！！！！,120
21,Avengers Age of Ultron,复仇者联盟2,2017-01-22,22,雨木木,2015-04-23,5, 说实话其实剧情就那样吧，非漫威粉看着可能有的地方会get不到G点吧。（其实漫威卖的不是剧情而是人物和世界观呀，漫威宇宙棒棒哒）但对于漫威粉来说真是全程高能+IMAX燃爆啊！#漫威大法好#,90
22,Avengers Age of Ultron,复仇者联盟2,2017-01-22,23,琉璃仙,2015-04-30,4, 硬要凹出剧情内涵来的超级英雄电影让人醉。这一集的男一是鹰眼吧。美队和雷神都被塑造成了二傻子。钢铁侠依旧是那个让人熟悉的混账。绿巨人根本没有找到自我。黑寡妇倒是爆了自己的历史。喜欢新出现的红女巫。最让人感慨的是彩蛋里灭霸无奈的脸。#影评写这么碎，对自己也是不满意的#没有LOKI差评！,89
23,Avengers Age of Ultron,复仇者联盟2,2017-01-22,24,木卫二,2015-05-13,2, 越是一本正经，就是越是无趣。个个死不了，撕了扯了砸了死了的，你也不关心。全程梦游。,73
24,Avengers Age of Ultron,复仇者联盟2,2017-01-22,25,钱钱love速来,2015-05-01,4, “鹰眼作为本片的第一男主”有理有据。有感情戏，有主公技，有不止一个妹，有感化傻逼的男主式语录，有狂立flag而不倒的金手指，有死基友不死本大爷的神功护体。。他合同是不是结束了？？？复联2——\鹰眼巨巨凯瑞me/    还我快银！！！,91
25,Avengers Age of Ultron,复仇者联盟2,2017-01-22,26,呆子的世界,2015-05-01,5, 没有了洛基这个小基仔真是觉得即墨如雪啊,84
26,Avengers Age of Ultron,复仇者联盟2,2017-01-22,27,Y,2015-05-12,3, 第一部有基神，好看！第二部没有基神，不好看！所以，基神=好看 ← 盖章确定 ← 逻辑满分√√√,75
27,Avengers Age of Ultron,复仇者联盟2,2017-01-22,28,Lotte Mars,2015-04-28,3, 感覺不到任何感情,55
28,Avengers Age of Ultron,复仇者联盟2,2017-01-22,29,蘅驴驴,2015-04-27,3, 故事比第一部沉重，但这并不代表它深刻，基本上是非常杂乱且肤浅，原本不错的娱乐性也丢了。人物太多线索太多，每一处都像挠痒痒一样一笔带过，每一处都没挠痛快，自然观影体验也是乱七八糟，没有一处让人真正走心的。漫威宇宙拍到这基本上很难再给人带来惊喜了，严重审美疲劳。,53
29,Avengers Age of Ultron,复仇者联盟2,2017-01-22,30,雲五,2015-04-23,4, 相比第一部：多了惊悚、爱情、打戏，少了幽默、剧情、美国。看到结尾最在意的事情果然还是……下一部复联可能没有钢铁侠、雷神和绿巨人了？我靠，那我还看谁啊？！强烈要求把Star Lord、Ant Man、Spider Man都加进来作为补偿！！！（“观众可能看腻了我们炸美国城市。” “那我们炸个东欧城市吧。”）,60
30,Avengers Age of Ultron,复仇者联盟2,2017-01-22,31,乌鸦火堂,2015-05-08,4, 与第一集不同，承上启下，阴郁严肃，但也不会不好看啊，除非本来就不喜欢漫威电影。场面更加宏大，单打与团战又到了炫技的时刻，镜头感超赞。故事平铺但很紧凑，冷笑话依然不少，大量彩蛋是粉丝的菜，结尾新复联成立那一刻燃爆。不足之处在于几大新角色没有展开，感情戏有些生硬，另国内翻译不咋地,30
31,Avengers Age of Ultron,复仇者联盟2,2017-01-22,32,王大根,2015-05-24,3, 超级英雄们怎么就那么没事干啊，没有坏人打了就自己造一个出来，打完了还是英雄，这他妈不是钓鱼执法吗……,44
32,Avengers Age of Ultron,复仇者联盟2,2017-01-22,33,Ck,2015-04-28,2, 倒退回到卡通片一樣為打而打的特效畫面... Ultron其實挺幽默的，是James Spader的功勞。看到Julie Delpy和Vision小激動了一下，看到Cap在派對上想起Bucky心塞了（不止）一下，看到Quicksilver Scarlet Witch什麼什麼哭了一下... And Idris Elba is a liar! >:(,49
33,Avengers Age of Ultron,复仇者联盟2,2017-01-22,34,鸦哭魔yakumo,2015-05-12,3, 一碗好吃的甜口的八宝粥，需要将江米、红豆、大枣等用文火慢慢熬煮。它可以根据个人喜好放很多的谷类也好豆类也罢，而且也未必非得是八样。但往锅里放火腿、贝壳、甚至臭豆腐…那就不再叫八宝粥而叫杂烩。只是我们喜欢的是这个牌子的八宝粥。,39
34,Avengers Age of Ultron,复仇者联盟2,2017-01-22,35,蒙小厨,2015-04-28,2, 劇情弱，純賣特技,38
35,Avengers Age of Ultron,复仇者联盟2,2017-01-22,36,Angry Mob,2015-04-25,3, 挺没意思的，特别疲劳，而且3d几乎没效果，不建议去电影院烧钱了。看来只有Xmen才能拯救Avengers系列了,24
36,Avengers Age of Ultron,复仇者联盟2,2017-01-22,37,白日美人_S,2015-05-02,4, 观感比第一部差很多，稍显沉重，文戏不冗长却无趣。奥创是今年看过的最萌反派。红女巫美到让人出戏，新任春梦对象。xx和xx感情戏全都是bullshit。,18
37,Avengers Age of Ultron,复仇者联盟2,2017-01-22,38,白,2015-04-25,2, 一般般，然后为什么澳洲电影院的爆米花是咸的！！！！！,24
38,Avengers Age of Ultron,复仇者联盟2,2017-01-22,39,A L E X,2015-05-01,4, 我就问一句：老万是被炸死的老万造吗？,33
39,Avengers Age of Ultron,复仇者联盟2,2017-01-22,40,掉线,2015-05-12,3, 【C+】前1/3文戏烂到爆，剧情只剩下程式化的故事推进，感觉看了一集美剧。中间1/3无聊到爆，刚想这集大概是完全放弃人物刻画了？导演刷拉拉甩我一脸的家庭戏，邻座被感动的昏睡过去十五分钟。最后1/3勉强挽回些水准，但思辨依旧肤浅，人机交互进化探讨早在机械公敌玩儿腻了好吗？要不是特效，就给两星,11
40,Avengers Age of Ultron,复仇者联盟2,2017-01-22,41,办公室甜心,2015-05-10,5, 看毕，我激动地对友人说，等等奥创要来毁灭台北怎么办厚，她拍了拍我肩膀，没事，反正你买了两份旅行保险，惹......,16
41,Avengers Age of Ultron,复仇者联盟2,2017-01-22,42,哥舒夜,2015-04-23,4, 你们看美队的胸！隔着大半个屋子都能感受到！,21
42,Avengers Age of Ultron,复仇者联盟2,2017-01-22,43,娓娓,2015-04-23,4, 4/22看的台灣搶映。有韩国元素，为啥分分钟觉得片子里有个都敏俊呢…剪辑有点混，配乐不错啦！影城还有贴心的彩蛋提醒。片尾是說阿凡達也加入了嗎。沒有GP不幸福。那個人跟超人有聯繫嗎？看的日新威秀IMAX 3D，17：25都是满场,18
43,Avengers Age of Ultron,复仇者联盟2,2017-01-22,44,LuDada,2015-05-12,1, 不出意料得烂，喜欢这部电影的孩子，大概也喜欢变4……,33
44,Avengers Age of Ultron,复仇者联盟2,2017-01-22,45,张小北,2015-05-12,3, 粉丝向电影+全明星阵容，还是三部曲里的第1.5部续集，直接导致细节梗太多，每个角色都要照顾以至于顾不上故事节奏，叙事还要照顾到承上启下，结果整体都有点怪怪的。,22
45,Avengers Age of Ultron,复仇者联盟2,2017-01-22,46,恶魔的步调,2015-05-12,5, 哪个保证一刀不剪的，不是剪了好几刀吗！,8
46,Avengers Age of Ultron,复仇者联盟2,2017-01-22,47,暹罗copen,2015-05-01,3, 跪求乔斯·韦登回去弄“螢火蟲”，別再搞這些沒什麼營養的漫威大片。,26
47,Avengers Age of Ultron,复仇者联盟2,2017-01-22,48,大夫唐,2015-05-13,4, 刘大勇贾秀琰师徒真是狙击资本主义巨制界的先锋,14
48,Avengers Age of Ultron,复仇者联盟2,2017-01-22,49,死咗,2015-05-12,4, 好莱坞造梦境界依旧。值得表扬的是开头第一个镜头，其镜头运动设计的惊险流畅，大量低角度和超级特写的交代让人生理迅速发生反应，几乎马上进入情节。（那个慢速有点傻可是是给雷神的好吧）故事模式还是一样，反正就在打斗和逗比或者发展感情这两种模式中切换，非常适合不带大脑地去电影院魂离天外。,11
49,Avengers Age of Ultron,复仇者联盟2,2017-01-22,50,鹤大大,2015-04-23,5, 真的是全程无尿点。漫威在拍了这么多系列片之后再拿捏妇联2真是得心应手 笑点爆发点齐飞 拿锤子的哽太伤人 233 唯一遗憾 没洛基,17
50,Avengers Age of Ultron,复仇者联盟2,2017-01-22,51,羚羊的灵魂,2015-05-12,5, 绝逼不质疑尾灯的导演和编剧水平  ,15
51,Avengers Age of Ultron,复仇者联盟2,2017-01-22,52,心生,2015-05-12,3, 5分。虽然调低了期望，仍难免失望，甚至连视觉奇观都没啥新鲜感了。故事很简单，但讲得太凌乱，人物技能倒是继续酷炫，但基本都扁平。强调他们各自的烦恼与阴影，略刻意略重了些。反正你们想干啥就干啥，我继续默默地看你们High喽～[doge]PS：心疼谷大……,9
52,Avengers Age of Ultron,复仇者联盟2,2017-01-22,53,Queen Bean,2015-04-23,5, 赶上第一波看好开心！大乱斗超好评！！！总之笑料和精彩程度都不减！所有的BG线都让人尴尬到内心崩溃。寡姐和Hulk在一起时，简直就是是超级宠物教练。猩红女巫和快银也都是萌萌萌！我有好多嘈想吐，但我不能剧透。麻蛋！,23
53,Avengers Age of Ultron,复仇者联盟2,2017-01-22,54,CyberKnight电子骑士,2015-04-10,4, 还是很过瘾的，差不多是从头打到尾。中间的绿巨人VS反浩克钢铁侠以及结尾大战都非常刺激！IMAX还是最好的选择。不过总体感觉不如复联第一部，文戏有点乱，角色太多缺乏重点用力平均。奥创显得不够牛X，有气场没能耐，不像能灭复联的。三星半。我认为《美国队长3：内战》会比复联2好看！,11
54,Avengers Age of Ultron,复仇者联盟2,2017-01-22,55,帕拉多克斯,2015-05-13,2, 胸大无脑式的超级英雄无基腐与逗逼救场显然乏味许多，观众要开始厌烦漫威大法了，没啥创意的打斗与爆炸除了带来视觉疲劳还有什么？镜头语言为零，像电视剧，不如《美队2》的手持有感觉。尾灯大神要想想新招了，不然下坡路就在眼前...重点：你们在第几分第几秒见到我女神了？？麻烦请告知！感觉被骗了。,16
55,Avengers Age of Ultron,复仇者联盟2,2017-01-22,56,麦,2015-05-09,5, 我是男脑残粉 所以怎么都好看 ,13
56,Avengers Age of Ultron,复仇者联盟2,2017-01-22,57,老孙,2015-04-25,3, 沦落成传统的打斗片套路，小打——对白——小打——对白……最后大打一番结束。观察下来，最厉害的还是雷神啦，因为他既会飞又打不死。其他人要么是打不死但不会飞（绿巨人），要么是会飞但可能会被打死（钢铁侠），要么是既不会飞，又可能会被打死。,65
57,Avengers Age of Ultron,复仇者联盟2,2017-01-22,58,挑灯看剑,2015-05-04,3, 在台湾看了一回电影,6
58,Avengers Age of Ultron,复仇者联盟2,2017-01-22,59,Thoza of Rivia,2015-04-24,5," 啊啊啊啊啊啊啊啊啊啊啊啊啊！我真的很久没有关心复联了（昨晚还搞错时间买了票结果没去……）但是就这样看一遍，几年前那种立即想二刷的状态又回来了。""Together""，一直都是这个系列戳中我的地方。Vision好赞……锤哥的西装好帅……（大部分观众都留着等第二个彩蛋，结果只有一个……_(:з」∠)_",6
59,Avengers Age of Ultron,复仇者联盟2,2017-01-22,60,LORENZO,2015-05-03,4, 忘标了。。。对新男主的下场。。。很怨念。。。令想说，某和某的狗血恋情，真是够了。不过依然还算过瘾，激战场面眼花缭乱。现在的反派都流行卖萌流行搞哲学，太可怕了。,8
60,Avengers Age of Ultron,复仇者联盟2,2017-01-22,61,旺财,2015-05-02,2, avengers1睡着1次 avengers2睡着两次。。。,26
61,Avengers Age of Ultron,复仇者联盟2,2017-01-22,62,C h r i s . W,2015-04-23,3, 上映第一天就去刷了 总之就是一个字爽 打斗比第一部更多更精彩 而且异常喜欢这部的黑暗基调 不过奥创比想象中的要弱多了啊 坐等下一步灭霸现身把妇联全灭了 另外黑寡妇和绿胖这一对又是什么鬼（猩红女伊丽莎白好漂亮啊）说说差的地方 人物线太杂乱  看完以后基本就忘了到底讲了什么  只记得打打打。,11
62,Avengers Age of Ultron,复仇者联盟2,2017-01-22,63,烟草告急,2015-05-03,3, 钢铁流星拳拳拳拳拳拳,14
63,Avengers Age of Ultron,复仇者联盟2,2017-01-22,64,让我自己看会书,2015-05-12,3, 能不能痛痛快快地打，别有一搭没一搭地来感情戏。,12
64,Avengers Age of Ultron,复仇者联盟2,2017-01-22,65,中二君,2015-04-23,5, 我锤帅呆了！！！我队也是本命！！！还蛮想跟幻视来一发！！！捂脸···btw，奥创是个大傻逼·，谁要用陨石撞地球来毁灭人类啊，有那个功夫多复制几个自己啊···而且快银不应该是万磁王的儿子么，而且还挂了···平行宇宙大法？,11
65,Avengers Age of Ultron,复仇者联盟2,2017-01-22,66,树,2015-05-12,2, 这是什么鬼啊！！,9
66,Avengers Age of Ultron,复仇者联盟2,2017-01-22,68,张咏轩Wayne,2015-04-27,3, 特效场面完胜《逆转未来》，近八成的狂轰乱炸，只是一些剪辑节奏的拿捏不够，导致全片文武戏块略微失衡，没有第一部那么酣畅。黑寡妇和绿巨人的暗生的情愫是最闪瞎眼的桥段，二人怎么看都不搭噶。猩红快银幻视的加入虽然更为激昂热血，但也有一种老牌英雄退位让贤的悲壮感。一出硝烟弥漫的嘉年华会,14
67,Avengers Age of Ultron,复仇者联盟2,2017-01-22,69,张天翼,2015-05-17,3, 群口相声。始终处于“亚高潮”状态。说平淡也不算平淡，打戏人太多又嗨不到沸点。提神全靠铁罐。就是——打打打，斗嘴，斗嘴，段子，打打打，斗嘴…【拆寡鹰，硬凑绿寡 0。0 ||| 可绿寡这么生硬，好意思吗？,8
68,Avengers Age of Ultron,复仇者联盟2,2017-01-22,70,bella,2015-05-11,2, 3 hours of my life that I'll never get back,20
69,Avengers Age of Ultron,复仇者联盟2,2017-01-22,71,Nina,2015-05-12,2, 超长版运动产品广告,10
70,Avengers Age of Ultron,复仇者联盟2,2017-01-22,72,小黄,2015-05-12,1, 谁再喊我看这种电影我和谁急！实在是接受无能。。。,9
71,Avengers Age of Ultron,复仇者联盟2,2017-01-22,73,w0w_w0w,2015-05-12,1, 简直看不下去,11
72,Avengers Age of Ultron,复仇者联盟2,2017-01-22,74,我不是猴子,2015-05-12,2, 一顿瞎打,8
73,Avengers Age of Ultron,复仇者联盟2,2017-01-22,75,蛋挞,2015-05-01,4, 画风跟第一部不太一样的承前启后之作，自带脑补虐文属性，一想到未来为内战的铺垫的梗就有点酸爽。结尾大决战脑海中不断联想到复联春运图。奥创最后毁灭世界怎么用的是老万的手法，还有那谁我就不说了哎。队长车顶手撕奥创近身戏帅！！,8
74,Avengers Age of Ultron,复仇者联盟2,2017-01-22,76,虎跳匣,2015-05-13,3, 好山好水好无聊。。。。,8
75,Avengers Age of Ultron,复仇者联盟2,2017-01-22,77,Weltschmerz,2015-05-13,5, 猩红女巫美哭了，为何要弄我大快银 嘤嘤嘤,4
76,Avengers Age of Ultron,复仇者联盟2,2017-01-22,78,纬誺,2015-05-13,2, 呵呵,9
77,Avengers Age of Ultron,复仇者联盟2,2017-01-22,79,海底的毛衣,2015-05-12,2, 算是很普通的超人片子了，两星分别是scar和maximoff twins哒,8
78,Avengers Age of Ultron,复仇者联盟2,2017-01-22,80,荔枝超人,2015-05-11,2, 只有脑残粉爱看的电影，其他人统统呼呼大睡。漫威，再见。,65
79,Avengers Age of Ultron,复仇者联盟2,2017-01-22,81,巢菜,2015-05-12,2, 漫威编剧实在是脑洞太大了。。。而且没有loki。。。,7
80,Avengers Age of Ultron,复仇者联盟2,2017-01-22,82,旧书君,2015-05-12,5, 超愉悦以及超满足。在历经了第一阶段比漫画更普世的设定融合之后，发展到#AoU#居然出现了不少传统科幻的哲思。乔斯尾灯的诉求一目了然：这真的不仅仅只是超级英雄们的情景喜剧而已。so，漫威有这样的良心之人，是漫威的荣幸。（默默给DC烧纸）,5
81,Avengers Age of Ultron,复仇者联盟2,2017-01-22,83,猪肠胀糯米,2015-05-12,5, 一刷归来一本满足。PB真的全队最帅，刚出场时苏到不行！JS演得最活，感觉真人就在眼前，一把声音就把全场的气氛给震摄了！队长和锤哥的配合很惊艳！Olsen妹子超超超灵，女巫塑造得好。Joss给剧本注入了很多传统科幻的东西，笑点和宅梗都非常多！现在最期待的就是导演加长剪辑了！鹰眼对女巫的话有看哭,6
82,Avengers Age of Ultron,复仇者联盟2,2017-01-22,84,伟大的小屁孩,2015-04-22,5, 首映就冲去看了！作为漫威脑残粉当然咬紧牙关也要给5星但我必须承认我在开场前20分钟都没能入戏，熬过前20分钟就会渐入佳境（没入也别找我说了我脑残了！）本集冷笑话好多，彩蛋也浅显易懂，于是下一集我们应该会再见到银河护卫队了吧。最后，双胞胎姐姐好美腻！！,14
83,Avengers Age of Ultron,复仇者联盟2,2017-01-22,85,伍德与夏洛蒂,2015-05-12,3, 对比1来说，战斗场面多了很多，但没有一幕燃到我，台词也非常弱，奥创就是一个有daddy issue的中二病少年，成不了气候，幻视就这样默默的出现默默的命名，雷声大雨点小，全片最好看的还是寡姐和绿巨人的暧昧，俩人演技太好，每个调情互动都很高级，眼神交流太有质感（5.8媒体首映）,16
84,Avengers Age of Ultron,复仇者联盟2,2017-01-22,87,风间隼,2015-05-15,3, 剧情看得人昏昏欲睡，打戏就钢铁侠对绿巨人那场好看。最后雕塑版的黑寡妇神似刘胡兰。,7
85,Avengers Age of Ultron,复仇者联盟2,2017-01-22,88,山人阿苍苍,2015-04-24,3, 梗概：不作死就不会死。最让我震惊的不是寡姐和绿巨人站了CP、鹰眼早有家庭（之前的鹰眼寡姐CP都被这部编剧吃了吧），而是快银居然就那么领了便当（手动再见）；红女巫发大招是真帅；有些joke确有笑果，比如thor的hammer joke，但有些刻意抖机灵的痕迹太明显反而就呵呵了；不过打戏还是颇有趣味,38
86,Avengers Age of Ultron,复仇者联盟2,2017-01-22,89,王食欲,2015-05-12,2, 奥创设定太差。,7
87,Avengers Age of Ultron,复仇者联盟2,2017-01-22,90,不亦乐乎的海盗,2015-05-10,3, 我。。。居然。。。没看懂。。。只觉得三个光束打奥创好燃，以及快银也很顺眼而且口音好喜感,6
88,Avengers Age of Ultron,复仇者联盟2,2017-01-22,91,柏林苍穹下,2015-05-13,4, 在一个系列里起到承前启后的作用，但就单部而言，人物线索编排过密，缺乏集聚效果。,6
89,Avengers Age of Ultron,复仇者联盟2,2017-01-22,92,猛汉世雄,2015-05-13,4, 三星半吧，没多好看，故事比较简单，人物比较单薄，但是海量特效还是很爽的，奥创身材肥肠好，腰肥肠肥肠细：）,5
90,Avengers Age of Ultron,复仇者联盟2,2017-01-22,93,赵大宝,2015-05-14,3, 观影过程中，耳边一直有一种突突突突突的声音，我还感慨电影为了让奥创给观众带来紧张感，声音上真是下了功夫。后来才发现是楼下正在装修。,14
91,Avengers Age of Ultron,复仇者联盟2,2017-01-22,94,梨酱,2015-05-05,2, 失望失望太失望,8
92,Avengers Age of Ultron,复仇者联盟2,2017-01-22,96,大奇特(Grinch),2015-05-19,1, 昏昏欲睡 一盘散沙,3
93,Avengers Age of Ultron,复仇者联盟2,2017-01-22,97,T.V.Zoe ி,2015-05-12,3, 不說人話染了一身抖包袱的惡習 劇情也就那樣 因為一到文戲我就撐不住想睡 睡了八遍再看發就不知道他們在打什麼了……也就是說不是迷妹真的沒法看這種首映 片尾还有人民英雄纪念雕塑 當然了特效啥的是很牛逼 到咣咣咣開砸就能醒 等二刷,3
94,Avengers Age of Ultron,复仇者联盟2,2017-01-22,98,雅典娜,2015-05-12,5," Together. Like an old man said, together. Worthy!  这片果然“完完全全是Joss”。笑点密集，各种宅内涵。唯一遗憾为了片长的删减。好想高唱复联动画EMH主题曲Forever fight as one，那歌词完全对应这部电影。 【Joss Whedon is worthy!Joss Whedon have got no string!】",8
95,Avengers Age of Ultron,复仇者联盟2,2017-01-22,99,Nineveh,2015-04-26,2, Shi一样的剧情啊,9
96,Avengers Age of Ultron,复仇者联盟2,2017-01-22,100,SHOOT BANK,2015-05-13,2, 通篇洋溢着「我鸡巴大我先说」的直男气息，但紧身衣又出卖了它,4
97,Avengers Age of Ultron,复仇者联盟2,2017-01-22,101,昂迪,2015-05-12,3, 刘大勇你好！字幕翻译太烂了，节奏不连贯，没看过前作的观众肯定晕菜。场面很炫酷，故事性较差，各种英雄脑抽式掐架，失望！,8
98,Avengers Age of Ultron,复仇者联盟2,2017-01-22,102,翻滚吧！蛋堡,2015-04-28,3, 跟笑点满满，热血高能的前作相比，这一部平庸太多。讲述超级英雄的黑暗面却也没有进行深挖，主角们都透露出一丝无力感，反倒是猩红女和快银成为最大看点，鹰眼的家庭戏和黑寡妇绿巨人的爱情戏也让人提不起精神，打斗方面也远远不如《美队2》的凌厉剪辑好看。,8
99,Avengers Age of Ultron,复仇者联盟2,2017-01-22,103,Gawiel,2015-05-06,3, 复联基本上是在往情景喜剧的路线上拍了，每个人固定性格，每集一个特定情景来展开性格；本集的亮点是打斗的画面，画面的构图有很强的漫画感，时不时有四五个人出现在同一镜头中，同一运动方向，或分散四五个运动方向，甚至在此时会有一个慢动作，造成漫画中占一整页的大画面的感觉，还蛮漂亮。,3
100,Avengers Age of Ultron,复仇者联盟2,2017-01-22,104,mideastsptfire,2015-05-04,3," Long takes, no stakes. 最后大战灾难性得乱 olsen到底什么能力完全没明白 是巴菲里的prophecy? 其实剧本没那么差 美国例外论的主题像是Whedon的菜",6
